Sales_Weekly;Avg_Temp
75;25
64;22
67;23
17;6
47;16
52;18
82;28
35;12
12;5
70;24
45;15
71;23
54;17
70;23
58;19
56;18
42;13
1;1
9;4
38;13
80;26
69;22
21;7
35;11
-3;0
40;13
7;2
46;15
83;28
23;7
12;4
72;24
40;14
79;27
53;18
83;28
75;25
49;16
47;16
19;6
18;7
89;29
60;20
83;28
68;23
9;3
82;27
44;15
47;15
67;23
37;13
35;12
41;14
33;12
12;4
89;29
64;21
71;24
66;23
4;2
19;7
59;20
30;10
42;13
18;6
16;6
53;17
0;0
27;9
78;26
55;19
17;6
53;18
26;8
35;11
9;3
69;22
62;21
71;23
39;13
43;15
39;13
84;28
40;14
12;4
39;12
74;24
89;30
85;28
12;4
68;23
86;28
56;19
65;21
89;30
40;14
61;20
59;19
4;1
27;8
